PHASE 4.19 CHECKPOINT
BASE = de01d05
STATUS = PASS
MODE = READ_ONLY_REAUDIT
PROVINCE = ปราจีนบุรี
CATEGORY = vegetarian
CANONICAL_PRIMARY = 1
PRECANONICAL = 2
PENDING_CONFIRMATION = 2
FOLLOWUP_EVIDENCE = 2
EXCLUDED_GENERAL_OR_MIXED_SCOPE = 3
READY_FOR_CONTROLLED_ADOPTION = 0
ACCOUNTED_UNIQUE = 8
PENDING_MANUAL_CONFIRMATION = 1
PENDING_COORDINATE_CONFIRMATION = 1
COVERAGE_WORK_REMAINS = True
REAL_WORLD_COMPLETENESS_CLAIMED = False
PENDING_BLOCKS_DISCOVERY = False
PHASE4_FINAL_GATE_READY = True
DATABASE_UNCHANGED = True
DATABASE_WRITES = False
CANONICAL_WRITES = False
PRECANONICAL_WRITES = False
PENDING_WRITES = False
PRODUCTION_WRITES = False
TRUST_POLICY_LOWERED = False
TARGETED_TESTS = 5/5 OK
FULL_REGRESSION = RUN_IN_REAL_REPOSITORY
RESULT = PASS
